paper_id,paper_kind,authors,year,title,venue,primary_url,mechanism_themes,original_universe,original_sample,canonical_signal_or_target,formation_and_holding,project_use,verification_status
LIT016,factor,Campbell Hilscher and Szilagyi,2008,In Search of Distress Risk,Journal of Finance,https://campbell.scholars.harvard.edu/sites/g/files/omnuum5881/files/campbell/files/campbellhilscherszilagyi_jf2008.pdf,financial_distress,US common stocks,1963-2003,dynamic-logit failure probability from market and accounting variables,monthly failure-probability updates and holding,complex distress composite,author_pdf_verified
LIT017,factor,Amihud,2002,Illiquidity and Stock Returns: Cross-Section and Time-Series Effects,Journal of Financial Markets,https://www.sciencedirect.com/science/article/pii/S1386418101000246,liquidity_price_impact,NYSE stocks,1963-1997,mean absolute daily return divided by dollar volume,prior-year formation and monthly or annual holding,price-impact signal,primary_source_verified
LIT018,factor,Hou and Moskowitz,2005,Market Frictions Price Delay and the Cross-Section of Expected Returns,Review of Financial Studies,https://www.ruf.rice.edu/~jgsfss/moskowitz.pdf,information_diffusion,US common stocks,1964-2001,incremental R-squared from lagged market returns in weekly stock-return regression,52-week estimation and periodic holding,uncommon information-delay signal,author_pdf_verified
LIT019,factor,Gervais Kaniel and Mingelgrin,2001,The High-Volume Return Premium,Journal of Finance,https://rodneywhitecenter.wharton.upenn.edu/wp-content/uploads/2014/04/9901.pdf,attention_volume,NYSE common stocks,1963-1996,current volume rank within prior 50 trading days,one to twenty trading-day holding,abnormal-volume signal,author_repository_verified
LIT020,factor,Lee and Swaminathan,2000,Price Momentum and Trading Volume,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/0022-1082.00280,volume_conditioned_momentum,NYSE and AMEX common stocks,1965-1995,past turnover interacted with price momentum,six-month volume and momentum formation with medium holding,interaction signal not standalone volume,primary_source_verified
LIT021,factor,Da Engelberg and Gao,2011,In Search of Attention,Journal of Finance,https://doi.org/10.1111/j.1540-6261.2011.01679.x,retail_attention,Russell 3000 stocks,2004-2008,abnormal Google Search Volume Index versus prior eight-week median,weekly formation with one to two-week pressure and long reversal,alternative-attention candidate,primary_source_verified
LIT022,factor,Fang and Peress,2009,Media Coverage and the Cross-Section of Stock Returns,Journal of Finance,https://www.insead.edu/sites/insead/files/assets/faculty-personal-site/lily-hua-fang/documents/media-coverage-and-the-cross-section-of-stock-returns.pdf,information_dissemination,US common stocks,1993-2002,annual count or absence of firm-specific media coverage,annual formation and holding,coverage scarcity signal,author_pdf_verified
LIT023,factor,Tetlock Saar-Tsechansky and Macskassy,2008,More Than Words: Quantifying Language to Measure Firms' Fundamentals,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01362.x,textual_information,S&P 500 firms with Dow Jones news,1980-2004,fraction of negative words in firm-specific news,news-timestamp formation and short-horizon holding,text-sentiment candidate,primary_source_verified
LIT024,factor,Asquith Pathak and Ritter,2005,Short Interest Institutional Ownership and Stock Returns,Journal of Financial Economics,https://site.warrington.ufl.edu/ritter/files/2015/04/Short-interest-institutional-ownership-and-stock-returns-2005-08.pdf,short_sale_information,US common stocks,1988-2002,short interest ratio interacted with institutional ownership,monthly formation and holding,short-interest signal,author_pdf_verified
LIT025,factor,Lakonishok Shleifer and Vishny,1994,Contrarian Investment Extrapolation and Risk,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1994.tb04772.x,value,NYSE and AMEX stocks,1963-1990,book earnings cash-flow and sales-growth value measures,annual formation with multi-year diagnostics,value-family definitions,primary_source_verified
LIT026,factor,Loughran and Wellman,2011,New Evidence on the Relation between the Enterprise Multiple and Average Stock Returns,Journal of Financial and Quantitative Analysis,https://doi.org/10.1017/S0022109011000445,enterprise_value,US nonfinancial common stocks,1963-2009,enterprise value divided by EBITDA,annual accounting formation and monthly holding,enterprise-multiple candidate,primary_source_verified
LIT027,factor,Boudoukh Michaely Richardson and Roberts,2007,On the Importance of Measuring Payout Yield: Implications for Empirical Asset Pricing,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2007.01226.x,payout_and_issuance,US common stocks,1926-2003,dividends plus repurchases minus issuances divided by market equity,annual formation and July-to-June holding,net-payout candidate,primary_source_verified
LIT028,factor,Frankel and Lee,1998,Accounting Valuation Market Expectation and Cross-Sectional Stock Returns,Journal of Accounting and Economics,https://doi.org/10.1016/S0165-4101(98)00026-3,analyst_fundamental_value,US firms with analyst forecasts,1975-1993,residual-income analyst value divided by price,annual or periodic formation and medium holding,complex valuation composite,primary_source_verified
LIT029,factor,Novy-Marx,2013,The Other Side of Value: The Gross Profitability Premium,Journal of Financial Economics,https://www.nber.org/papers/w15940,profitability,US common stocks,1963-2010,gross profits divided by total assets,annual formation and monthly holding,gross-profitability signal,NBER_primary_verified
LIT030,factor,Fama and French,2015,A Five-Factor Asset Pricing Model,Journal of Financial Economics,https://doi.org/10.1016/j.jfineco.2014.10.010,profitability_and_investment,US common stocks,1963-2013,operating profitability and asset investment,June formation and July-to-June holding,canonical OP and investment definitions,primary_source_verified
LIT031,factor,Ball Gerakos Linnainmaa and Nikolaev,2016,Accruals Cash Flows and Operating Profitability in the Cross Section of Stock Returns,Journal of Financial Economics,https://www.ivey.uwo.ca/media/3775325/gerakos.pdf,cash_profitability,US common stocks,1963-2013,cash-based operating profitability,annual accounting formation and monthly holding,cash-quality signal,author_pdf_verified
LIT032,factor,Asness Frazzini and Pedersen,2019,Quality Minus Junk,Review of Accounting Studies,https://research.cbs.dk/en/publications/quality-minus-junk-2/,quality_composite,US and global equities,1957-2012 for US,average standardized profitability growth safety and payout scores,monthly portfolio formation with PIT accounting lags,complex quality composite,primary_source_verified
LIT033,factor,Piotroski,2000,Value Investing: The Use of Historical Financial Statement Information to Separate Winners from Losers,Journal of Accounting Research,https://www.ivey.uwo.ca/media/3775523/value_investing_the_use_of_historical_financial_statement_information.pdf,fundamental_strength,high book-to-market US firms,1976-1996,nine binary profitability leverage-liquidity and efficiency tests,annual formation and one to two-year diagnostics,value-conditioned quality composite,author_pdf_verified
LIT034,factor,Eisfeldt and Papanikolaou,2013,Organization Capital and the Cross-Section of Expected Returns,Journal of Finance,https://doi.org/10.1111/jofi.12034,intangible_organization_capital,US common stocks,1970-2008,perpetual-inventory stock of SG&A scaled by assets,annual formation and monthly holding,uncommon intangible-capital signal,primary_source_verified
LIT035,factor,Hirshleifer Hsu and Li,2013,Innovative Efficiency and Stock Returns,Journal of Financial Economics,https://doi.org/10.1016/j.jfineco.2012.09.011,innovation_efficiency,US patenting firms,1976-2006,patent or citation output divided by R&D input,annual patent-information formation and holding,innovation-efficiency signal,primary_source_verified
LIT036,factor,Sloan,1996,Do Stock Prices Fully Reflect Information in Accruals and Cash Flows about Future Earnings?,Accounting Review,https://doi.org/10.2308/accr.1996.71.3.289,accrual_quality,US common stocks,1962-1991,operating accruals scaled by average assets,annual formation and one-year holding,accrual-quality signal,primary_source_verified
LIT037,factor,Hirshleifer Hou Teoh and Zhang,2004,Do Investors Overvalue Firms with Bloated Balance Sheets?,Journal of Accounting and Economics,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=404120,balance_sheet_sustainability,US common stocks,1964-2002,net operating assets divided by beginning total assets,annual formation and long-horizon diagnostics,NOA signal,author_preprint_verified
LIT038,factor,Cooper Gulen and Schill,2008,Asset Growth and the Cross-Section of Stock Returns,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2008.01370.x,investment_growth,US common stocks,1968-2003,annual percentage change in total assets,annual formation and one-year holding,asset-growth signal,primary_source_verified
LIT039,factor,Titman Wei and Xie,2004,Capital Investments and Stock Returns,Journal of Financial and Quantitative Analysis,https://doi.org/10.1017/S0022109000003173,capital_investment,US common stocks,1973-1996,abnormal capital investment relative to firm history,annual formation and multi-year diagnostics,capex-growth signal,primary_source_verified
LIT040,factor,Pontiff and Woodgate,2008,Share Issuance and Cross-Sectional Returns,Journal of Finance,https://doi.org/10.1111/j.1540-6261.2008.01329.x,equity_issuance,US common stocks,1970-2003,split-adjusted share growth,annual or monthly formation and one-year holding,net-share-issuance signal,primary_source_verified
LIT041,factor,Daniel and Titman,2006,Market Reactions to Tangible and Intangible Information,Journal of Finance,https://www.nber.org/papers/w9743,tangible_intangible_information,US common stocks,1968-2001,market-value growth decomposed into book growth and residual intangible return,five-year decomposition and subsequent holding,uncommon residualized fundamental signal,NBER_primary_verified
LIT042,factor,Bernard and Thomas,1990,Evidence that Stock Prices Do Not Fully Reflect the Implications of Current Earnings for Future Earnings,Journal of Accounting and Economics,https://deepblue.lib.umich.edu/items/3bcf3ab3-c991-419d-bc79-259d8daa8e5a,post_earnings_drift,US common stocks,1974-1986,standardized seasonal quarterly earnings surprise,quarterly event formation and drift through subsequent quarters,SUE and PEAD definition,author_repository_verified
LIT043,factor,Feldman Livnat and Zhang,2012,Analysts' Earnings Forecast Recommendation and Target Price Revisions,Journal of Portfolio Management,https://doi.org/10.3905/jpm.2012.38.3.120,analyst_revisions,US firms with analyst coverage,1999-2009,earnings target-price and recommendation revisions,monthly formation and short-horizon drift,revision candidates,primary_source_verified
LIT044,factor,Diether Malloy and Scherbina,2002,Differences of Opinion and the Cross Section of Stock Returns,Journal of Finance,https://www.kellogg.northwestern.edu/faculty/mcdonald/ftp/practicum/papers/dms3.pdf,analyst_disagreement,US firms with analyst coverage,1983-2000,dispersion of analyst earnings forecasts,monthly formation and holding,forecast-dispersion signal,author_pdf_verified
LIT045,factor,Chen Hong and Stein,2002,Breadth of Ownership and Stock Returns,Journal of Financial Economics,https://www.nber.org/papers/w8151,ownership_breadth,US stocks with mutual-fund holdings,1979-1998,quarterly change in number of institutional owners,quarterly formation and twelve-month diagnostics,ownership-demand signal,NBER_primary_verified
LIT046,factor,Pan and Poteshman,2006,The Information in Option Volume for Future Stock Prices,Review of Financial Studies,https://doi.org/10.1093/rfs/hhj024,option_order_flow,US optionable stocks,1990-2001,buyer-initiated opening put volume divided by call volume,daily formation and one-day to one-week holding,option-information signal,primary_source_verified
LIT047,factor,Xing Zhang and Zhao,2010,What Does the Individual Option Volatility Smirk Tell Us About Future Equity Returns?,Journal of Financial and Quantitative Analysis,https://doi.org/10.1017/S0022109010000220,option_implied_tail,US optionable stocks,1996-2005,OTM put implied volatility minus ATM call implied volatility,weekly formation with one to six-month diagnostics,option-smirk signal,primary_source_verified
LIT048,factor,Bali and Hovakimian,2009,Volatility Spreads and Expected Stock Returns,Management Science,https://doi.org/10.1287/mnsc.1090.1063,option_volatility_spread,US optionable stocks,1996-2004,realized minus implied volatility and call minus put implied volatility,monthly formation and holding,option-risk-premium signals,primary_source_verified
LIT049,factor,Cohen and Frazzini,2008,Economic Links and Predictable Returns,Journal of Finance,https://doi.org/10.1111/j.1540-6261.2008.01379,network_information,US supplier firms with disclosed major customers,1980-2004,weighted prior-month return of principal customers,monthly formation and one-month holding,customer-network signal,primary_source_verified
LIT050,dictionary,Chen and Zimmermann,2022,Open Source Cross-Sectional Asset Pricing,Critical Finance Review,https://www.federalreserve.gov/econres/feds/open-source-cross-sectional-asset-pricing.htm,replication_dictionary,US common stocks with CRSP Compustat and alternative data,signal-dependent,319 documented predictors and public construction code,signal-dependent,definition and code cross-check,dataset_and_code_verified
LIT051,replication,Jensen Kelly and Pedersen,2023,Is There a Replication Crisis in Finance?,Journal of Finance,https://onlinelibrary.wiley.com/doi/10.1111/jofi.13249,factor_theme_replication,153 factors in 93 countries,global long sample,153 factors clustered into 13 correlated themes,one-month holding standardized across factors,correlation taxonomy and external evidence,primary_source_verified
LIT052,model,Gu Kelly and Xiu,2020,Empirical Asset Pricing via Machine Learning,Review of Financial Studies,https://academic.oup.com/rfs/article/33/5/2223/5758276,machine_learning_aggregation,US CRSP common stocks,1957-2016,next-month excess return prediction from 94 characteristics plus industries,recursive training validation and test with annual refits,later model and target design,primary_source_verified
LIT053,model,Freyberger Neuhierl and Weber,2020,Dissecting Characteristics Nonlinearities and Interactions,Review of Financial Studies,https://academic.oup.com/rfs/article-abstract/33/5/2326/5821383,regularized_nonlinear_aggregation,US common stocks,1965-2014,next-month returns from spline transforms and characteristic interactions,penalized estimation with out-of-sample evaluation,later transparent nonlinear model design,primary_source_verified
LIT054,model,Feng Giglio and Xiu,2020,Taming the Factor Zoo: A Test of New Factors,Journal of Finance,https://stefanogiglio.org/papers/feng-giglio-xiu-jf-2020.pdf,high_dimensional_factor_selection,US test assets and candidate factors,see paper,regularized two-pass cross-sectional regression,factor-level model comparison,later selection diagnostics,author_pdf_verified
LIT055,model,Kelly Pruitt and Su,2019,Characteristics Are Covariances: A Unified Model of Risk and Return,Journal of Financial Economics,https://www.sciencedirect.com/science/article/pii/S0304405X19301151,latent_factor_aggregation,US common stocks,1962-2014,IPCA with characteristics instrumenting time-varying factor loadings,monthly panel estimation,later latent-factor model candidate,primary_source_verified
