factor_id,display_name,mechanism_family,construction_type,primary_paper_id,canonical_definition,high_score_means,formation_refresh_holding,required_inputs,pit_rule,data_tier,current_feasibility,definition_status,signal_role,long_only_evidence,expected_corr_cluster,redundancy_group,priority,project_translation,notes
XS011_EXPECTED_EARN_MONTH,"expected earnings-announcement month","earnings_information_diffusion","event_calendar","LIT010","indicator that the firm is expected to announce annual earnings in the coming month based on its prior-year announcement month","scheduled information-risk exposure","form at prior month-end; hold expected announcement month","historical announcement calendar|PIT membership","expectation must be formed from previously observed schedules rather than actual future date","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical","conditional_rank","announcer long leg is directly studied","EARNINGS_EVENT_CALENDAR","EARNINGS_CALENDAR","expanded_after_data","a quarterly calendar adaptation requires a new ID","This isolates known event timing without using the future earnings number."
XS012_NIGHT_DAY_TUG,"overnight-versus-intraday tug of war","anchor_and_path_dependence","composite","LIT011","EWMA of close-to-open returns minus EWMA of open-to-close returns using the paper's decay and recent-month exclusion","overnight-dominant rather than intraday-dominant historical performance","paper EWMA horizon; monthly refresh and next-month component analysis","raw open|raw close|corporate actions|PIT membership","overnight returns must bridge splits dividends and ticker events without lookahead","T0_PRICE_PIT","definition_resolution_required","definition_resolution_required","interaction_or_context","total close-to-close long-leg direction is not established","PRICE_PATH_CLIENTELE","OVERNIGHT_INTRADAY","expanded_existing_data","resolve appendix decay exactly before assigning an executable ID","Keep as an uncommon path feature; do not guess the EWMA parameter."
XS013_LOW_BETA_FP,"shrunk market beta","low_risk_and_leverage_constraints","estimated","LIT012","raw beta = corr of five-year overlapping three-day returns times one-year stock volatility divided by one-year market volatility; score = -(0.6 * raw_beta + 0.4)","lower shrunk market beta","five-year correlation and one-year volatility; monthly refresh and holding","stock and market daily total returns|RF optional","minimum 750 valid days for correlation and all data known by signal close","T0_PRICE_PIT","new_code_current_price","paper_canonical","direct_rank","paper strategy relies partly on leverage and shorting","LOW_RISK_VOL_BETA","LOW_RISK","core_existing_data","evaluate long-only low-beta without claiming to reproduce BAB","May improve risk metrics without adding independent alpha."
XS014_IVOL_FF3_21,"one-month FF3 idiosyncratic volatility","lottery_preference_and_tail_risk","estimated","LIT013","negative square root of residual variance from daily FF3 regression over the prior 21 sessions","lower idiosyncratic volatility","21 sessions; monthly refresh and holding","daily stock excess return|daily MKT SMB HML RF","regression uses only completed sessions and requires at least 15 valid observations","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical","direct_rank","effect often stronger in short leg and small stocks","LOW_RISK_VOL_BETA","LOW_RISK","expanded_after_data","a CAPM residual version requires a separate ID","MAX and IVOL must share a family weight in later aggregation."
XS015_MAX_21,"maximum daily return over one month","lottery_preference_and_tail_risk","primitive","LIT014","-max(daily total return over prior 21 sessions)","less lottery-like recent payoff","21 sessions; monthly refresh and holding","daily total returns|PIT membership","all 21 daily returns known at signal close","T0_PRICE_PIT","new_code_current_price","paper_canonical_translation","direct_rank","high-MAX underperformance partly comes from the short side","TAIL_LOTTERY","LOW_RISK","core_existing_data","retain MAX1 as primary; MAX5 would be a separate sensitivity ID","Expected to correlate with IVOL skewness and retail attention."
XS016_DOWNSIDE_BETA,"down-market beta","low_risk_and_leverage_constraints","estimated","LIT015","conditional covariance of stock and market excess returns when market excess return is below its mean divided by conditional market variance","greater exposure to downside market states","at least 252 daily observations; monthly refresh and holding","stock return|market return|RF","conditioning threshold and regression window estimated only from past data","T0_PRICE_PIT","new_code_current_price","paper_canonical_translation","risk_feature","long-only premium may be compensation for risk","DOWNSIDE_SYSTEMATIC_RISK","LOW_RISK","expanded_existing_data","keep as a risk feature rather than an automatic low-risk preference","Direction differs from low beta because the paper studies a priced downside exposure."
XS017_FAILURE_PROB_CHS,"Campbell-Hilscher-Szilagyi failure probability","financial_distress","model_composite","LIT016","negative fitted 12-month failure probability from the paper's dynamic logit using market return volatility size price cash profitability leverage and book-to-market inputs","lower predicted financial distress","monthly predictor update and holding","PIT accounting|market cap|daily returns|price|failure-model coefficients","each input uses its publication timestamp and the frozen published coefficient vector","T3_ACCOUNTING_PIT","blocked_missing_T3","definition_resolution_required","direct_rank_or_filter","distressed stocks underperform but effect can be short-leg driven","DISTRESS","DISTRESS_QUALITY","later_research","resolve exact published coefficients and winsorization before implementation","A complex uncommon signal that combines market and balance-sheet information."
XS018_AMIHUD_252,"Amihud illiquidity","liquidity_attention_and_flow","primitive","LIT017","mean over 252 sessions of abs(daily return) / (raw close * volume shares)","higher price impact and illiquidity premium","252 sessions; monthly refresh; one-month project holding","daily return|raw close|qualified share volume","volume units split treatment and provider identity must pass a new dataset gate","T1_VOLUME_QUALIFIED","blocked_volume_qa","paper_canonical_translation","direct_rank_or_capacity_filter","large-cap long leg may be weak","LIQUIDITY_PRICE_PROXY","LIQUIDITY","expanded_after_data","do not compute from the current unqualified volume column","High score may be economically unattractive for a concentrated executable portfolio."
XS019_PRICE_DELAY_52W,"market price delay","liquidity_attention_and_flow","estimated","LIT018","D1 = 1 - R2_restricted / R2_unrestricted where weekly stock returns are regressed on current market return only versus current plus four lags","slower incorporation of market-wide information","52 weekly observations; monthly refresh and holding","weekly stock and market returns","all regression weeks end before signal close; require at least 40 observations","T0_PRICE_PIT","new_code_current_price","paper_canonical","direct_rank","large-stock effect may be attenuated","LIQUIDITY_PRICE_PROXY","LIQUIDITY","core_existing_data","retain D1 only; coefficient-weighted alternatives need new IDs","Mechanistically distinct from Amihud despite expected correlation."
XS020_VOLUME_SHOCK_50D,"50-day abnormal volume rank","liquidity_attention_and_flow","primitive","LIT019","percentile rank of current-day volume within the stock's current and prior 49 trading days","unusually high recent attention and activity","50 sessions; refresh at signal schedule; paper holds one to twenty days","qualified share volume|PIT membership","volume units and split handling fixed before rolling rank","T1_VOLUME_QUALIFIED","blocked_volume_qa","paper_canonical_translation","direct_rank_short_horizon","paper reports a high-volume long premium","ATTENTION_VOLUME","VOLUME_ATTENTION","core_after_data","monthly five-day aggregation would require a separate translation ID","Current volume exists but is not yet qualified across Yahoo and Tiingo."
XS021_VOLUME_COND_MOM,"volume-conditioned momentum","liquidity_attention_and_flow","conditional_composite","LIT020","double sort on prior six-month price momentum and prior six-month average turnover; favor winners with the paper-specified volume state","momentum whose continuation horizon is supported by volume state","six-month momentum and turnover; monthly refresh with medium holding","returns|PIT shares outstanding|qualified volume","turnover denominator and all volume history available by signal close","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical","interaction_or_context","paper evidence is conditional rather than pure-volume long leg","VOLUME_CONFIRMATION","MOM_PATH","expanded_after_data","do not treat raw volume as a standalone alpha proxy","Turnover requires PIT shares; dollar volume is not a substitute."
XS022_ASVI_8W,"abnormal Google search volume","liquidity_attention_and_flow","alternative_data","LIT021","log(SVI_week) - log(median(SVI over prior eight weeks))","greater retail attention for the short one-to-two-week horizon","eight-week baseline; weekly refresh; one-to-two-week primary horizon","vintage Google Trends SVI|unambiguous query mapping","raw query batch scaling and retrieval vintage stored; ambiguous tickers excluded","T5_DERIVATIVE_ALTERNATIVE","blocked_missing_T5","paper_canonical","short_horizon_feature","short-horizon pressure is positive and later reverses","ALT_FLOW_SENTIMENT","ATTENTION_ALT","later_research","long-horizon reversal must receive a separate ID and direction","Google Trends resampling makes raw-download versioning essential."
XS023_MEDIA_SCARCITY_12M,"media coverage scarcity","liquidity_attention_and_flow","alternative_data","LIT022","-log(1 + count of firm-specific media articles over prior 12 months)","less broadly disseminated information","12 months; annual or monthly refresh; one-year paper horizon","PIT news metadata|entity mapping","articles enter after timestamp and entity link was knowable","T5_DERIVATIVE_ALTERNATIVE","blocked_missing_T5","paper_canonical_translation","direct_rank","effect is stronger in small and neglected stocks","ALT_FLOW_SENTIMENT","ATTENTION_ALT","later_research","coverage count is distinct from text tone","S&P 500 restriction may remove much of the original dispersion."
XS024_NEWS_NEG,"negative-news language","earnings_information_diffusion","text_feature","LIT023","- negative_word_count / total_word_count across firm-specific news released before the signal cutoff","less negative fundamental language","event or short rolling window; refresh after news; one-to-ten-day horizon","timestamped full text|entity mapping|fixed dictionary","publication timestamp precedes signal and dictionary version is frozen","T5_DERIVATIVE_ALTERNATIVE","blocked_missing_T5","paper_canonical_translation","short_horizon_feature","negative language predicts short-run underreaction","TEXT_EVENT","TEXT_SENTIMENT","later_research","a FinBERT score would be a different model-generated factor","The paper uses a fixed dictionary; a modern language model cannot inherit its evidence."
XS025_SHORT_INTEREST,"short-interest ratio","financial_distress","alternative_data","LIT024","- shares_short / PIT shares_outstanding","less informed bearish positioning","exchange reporting cycle; monthly refresh and holding","short-interest release|PIT shares outstanding|institutional ownership for interaction","usable only after the public release date rather than settlement date","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank_or_filter","negative effect can be concentrated in high-short names","SHORT_CONSTRAINT","SHORT_DISTRESS","core_after_data","institutional-ownership interaction receives a separate composite ID if used","Borrow fee is not available and must not be inferred from short interest."
XS026_VALUE_BM,"book-to-market","value_mispricing","primitive","LIT025","PIT common book equity / current PIT market equity","cheaper price relative to book equity","annual accounting formation; monthly price refresh; one-month project holding","PIT financial statements|PIT shares|price","book equity enters after filing; current market cap uses historical effective shares","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical_translation","direct_rank","classic evidence includes long leg but varies by era","VALUE","VALUE_RATIOS","core_after_data","BM EP CFP and enterprise multiple are separate variants within one family","Use consistent treatment of negative book equity."
XS027_VALUE_EP,"earnings-to-price","value_mispricing","primitive","LIT025","trailing PIT earnings available at signal time / current market equity","cheaper price relative to earnings","annual or trailing-quarter update; monthly refresh and holding","PIT earnings|PIT shares|price","earnings enter after filing and revisions preserve vintage","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical_translation","direct_rank","value long-leg evidence exists","VALUE","VALUE_RATIOS","expanded_after_data","retain as value-family alternative rather than independent theory","Loss firms need a fixed missing or floor policy before execution."
XS028_VALUE_CFP,"operating cash-flow-to-price","value_mispricing","primitive","LIT025","trailing PIT operating cash flow / current market equity","cheaper price relative to cash generation","annual or trailing-quarter update; monthly refresh and holding","PIT cash-flow statement|PIT shares|price","cash flow enters only after filing and vintage is retained","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical_translation","direct_rank","value long-leg evidence exists","VALUE","VALUE_RATIOS","core_after_data","cash-flow value may be less redundant with accrual quality than EP","Cash-flow classification must be consistent across firms."
XS029_ENTERPRISE_MULTIPLE,"enterprise multiple","value_mispricing","primitive","LIT026","- (market equity + debt + preferred stock - cash) / EBITDA","lower enterprise value per unit of EBITDA","annual accounting update; monthly market-value refresh and holding","PIT accounting|PIT shares|price","all capital-structure and EBITDA inputs enter after filing","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","paper reports a strong low-multiple long side","VALUE_ENTERPRISE","VALUE_RATIOS","core_after_data","exclude financial firms and nonpositive EBITDA under a frozen rule","More capital-structure-aware than BM EP or CFP."
XS030_NET_PAYOUT_YIELD,"net payout yield","financing_and_issuance","primitive","LIT027","(common dividends + share repurchases - common share issuances) / year-end market equity","greater net cash distribution to shareholders","annual accounting formation; monthly holding","PIT cash-flow statement|PIT market equity","cash flows available after filing; no future issuance information","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","paper reports cross-sectional information beyond dividend yield","PAYOUT_ISSUANCE","PAYOUT","core_after_data","cash-flow-based measure is primary","Shares-based issuance proxy is a distinct alternative."
XS031_ANALYST_VALUE_TO_PRICE,"analyst residual-income value-to-price","value_mispricing","model_composite","LIT028","three-stage residual-income value using PIT analyst forecasts divided by current market price","higher forecast-based intrinsic value relative to price","forecast update; monthly refresh; medium holding","PIT analyst forecasts|PIT book value|cost-of-equity inputs|price","only forecasts released before cutoff and original forecast vintages may enter","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","definition_resolution_required","direct_rank_or_model_feature","original paper reports positive value-to-price spread","ANALYST_FUNDAMENTAL_VALUE","VALUE_MODEL","later_research","resolve exact terminal growth and discount-rate rules from paper code before execution","A deliberately uncommon valuation model rather than another simple multiple."
XS032_GROSS_PROFIT_AT,"gross profitability to assets","profitability_and_quality","primitive","LIT029","(revenue - cost of goods sold) / total assets","greater gross profitability","annual accounting update; monthly holding","PIT income statement|PIT balance sheet","fiscal record enters after filing and retains vintage","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","large-liquid stock evidence is explicitly reported","QUALITY_PROFITABILITY","PROFITABILITY","core_after_data","primary simple profitability representative","Expected to correlate with OP and cash profitability but not perfectly."
XS033_OPERATING_PROFIT_BE,"operating profitability to book equity","profitability_and_quality","primitive","LIT030","(revenue - COGS - SG&A - interest expense) / book equity under the Fama-French definition","greater operating profitability","annual June formation; monthly project holding","PIT accounting|book equity","accounting data follows conservative filing availability","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","factor evidence includes robust-profitability long leg","QUALITY_PROFITABILITY","PROFITABILITY","expanded_after_data","use as an alternative to GP rather than another independent family","Exact Fama-French variable inclusion must be copied from the official definition."
XS034_CASH_OP_AT,"cash-based operating profitability","profitability_and_quality","primitive","LIT031","cash component of operating profitability divided by total assets using the paper's operating-accrual decomposition","greater cash-backed profitability","annual accounting update; monthly holding","PIT cash flow|income statement|balance sheet","all components enter after filing with vintage preserved","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","paper finds stronger prediction than accrual-inclusive profitability","QUALITY_CASH_PROFIT","PROFITABILITY","core_after_data","retain despite correlation with GP because it isolates accrual quality","Exact cash operating-profit formula must be transcribed into the later executable spec."
XS035_QMJ_COMPOSITE,"quality-minus-junk score","profitability_and_quality","composite","LIT032","cross-sectional average of standardized profitability growth safety and payout component scores as defined in the paper","higher broad quality","monthly score from latest PIT inputs; one-month holding","PIT accounting|market returns|PIT shares","each component observes its own filing or market availability and all standardization is same-date cross-sectional","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","model_feature_or_direct_rank","quality long leg is directly studied","QUALITY_COMPOSITE","QUALITY","later_research","component scores remain separately visible; QMJ is not counted as four new ideas","Composite complexity is intentional and should be compared with simple GP."
XS036_PIOTROSKI_F,"Piotroski F-score","profitability_and_quality","conditional_composite","LIT033","sum of nine binary tests for profitability cash flow change in ROA accrual quality leverage liquidity issuance margin and turnover efficiency","stronger fundamental health among value stocks","annual formation after filing; original one to two-year diagnostics","PIT accounting|PIT shares","all current and lagged statements available after filing; value-universe filter is PIT","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","conditional_rank","original evidence is explicitly within high-BM stocks","QUALITY_COMPOSITE","QUALITY","later_research","do not use as an unconditional full-universe score without a new ID","A useful nonlinear rule-based benchmark for later ML."
XS037_ORG_CAPITAL,"organization capital","profitability_and_quality","derived_stock","LIT034","perpetual-inventory stock of SG&A using the paper's industry depreciation rate divided by total assets","greater accumulated organization capital","annual update after filing; monthly holding","PIT SG&A|PIT assets|historical industry classification","all vintages and industry mapping available by filing date","T3_ACCOUNTING_PIT","blocked_missing_T3","definition_resolution_required","direct_rank_or_model_feature","paper reports higher returns for high organization capital","INTANGIBLE_CAPITAL","INTANGIBLES","later_research","resolve initialization depreciation and industry treatment before execution","Uncommon mechanism relevant to human-capital-intensive firms."
XS038_INNOVATIVE_EFF,"innovative efficiency","profitability_and_quality","alternative_composite","LIT035","PIT patent count or citation output divided by lagged R&D expenditure using the paper's citation adjustments","more innovation output per unit of R&D input","annual patent vintage update; long holding","PIT patent grants and citations|PIT R&D|firm mapping","patent and citation information enter only when public; citation truncation correction is vintage-aware","T5_DERIVATIVE_ALTERNATIVE","blocked_missing_T5","definition_resolution_required","direct_rank_or_model_feature","paper reports positive long-side relation","INNOVATION_INTANGIBLE","INTANGIBLES","later_research","patent count and citation efficiency must be separate future IDs if both run","A genuinely non-price and uncommon signal."
XS039_ACCRUALS,"operating accrual quality","investment_and_asset_growth","primitive","LIT036","-[(change current assets - change cash) - (change current liabilities - change short debt - change taxes payable)] / average total assets","lower accrual component of earnings","annual update after filing; one-year original holding","PIT balance sheet|PIT filing history","both current and lagged filings available with original vintage","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","paper spread may include a strong short leg","ACCRUALS","ACCRUAL_QUALITY","core_after_data","cash-flow-statement accruals would need a separate ID","Correlated with cash profitability and NOA but represents a flow rather than a stock."
XS040_NET_OPERATING_ASSETS,"net operating assets","investment_and_asset_growth","derived_stock","LIT037","-[(operating assets - operating liabilities) / beginning total assets] under the paper's balance-sheet classification","less cumulative balance-sheet bloat","annual update after filing; long-horizon diagnostics","PIT balance sheet|PIT filing history","current and beginning assets available after filings with vintage preserved","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","paper reports strong negative predictor","ACCRUALS","ACCRUAL_QUALITY","expanded_after_data","retain separately from annual accrual flow","NOA is accumulated earnings not backed by free cash flow."
XS041_ASSET_GROWTH,"annual asset growth","investment_and_asset_growth","primitive","LIT038","-(total_assets[t] - total_assets[t-1]) / total_assets[t-1]","more conservative asset growth","annual update after filing; one-year holding","PIT total assets|PIT filing history","both annual statements available after their filing dates","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical","direct_rank","effect retained in large-cap stocks","INVESTMENT_ASSET_GROWTH","INVESTMENT","core_after_data","primary investment-family representative","Expected to correlate with capex NOA and issuance."
XS042_ABNORMAL_CAPEX,"abnormal capital investment","investment_and_asset_growth","derived","LIT039","negative current capital expenditure divided by its trailing three-year average minus one under the paper's definition","less unusually aggressive capital investment","annual update after filing; multi-year original diagnostics","PIT capital expenditures|PIT filing history","current and three prior annual filings available","T3_ACCOUNTING_PIT","blocked_missing_T3","paper_canonical_translation","direct_rank","negative future return relation is documented","INVESTMENT_ASSET_GROWTH","INVESTMENT","expanded_after_data","exact averaging denominator must be frozen from the paper before execution","More targeted than total asset growth but more missing-data-sensitive."
XS043_NET_SHARE_ISSUANCE,"split-adjusted net share issuance","financing_and_issuance","primitive","LIT040","- growth in split-adjusted shares outstanding over the prior 12 months","lower dilution or greater repurchase activity","12 months; monthly or annual refresh and one-year holding","PIT shares outstanding|split history","shares and split factors use historical effective dates","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical","direct_rank","negative issuance-return relation documented","PAYOUT_ISSUANCE","ISSUANCE","core_after_data","do not infer shares from volume","Expected to correlate with asset growth but reflects financing choice."
XS044_COMPOSITE_ISSUANCE,"composite equity issuance","financing_and_issuance","derived","LIT041","negative five-year change in market equity not explained by cumulative stock return under the Daniel-Titman decomposition","lower cumulative external equity issuance","five-year decomposition; annual or monthly refresh","PIT market equity|stock returns|split history","market cap and all return endpoints historically available","T2_REFERENCE_CLASSIFICATION_PIT","blocked_missing_T2","paper_canonical_translation","direct_rank","issuance component has predictive evidence","PAYOUT_ISSUANCE","ISSUANCE","expanded_after_data","highly related to net share issuance and should share a family weight","More robust to issuance mechanisms but depends on a long history."
XS045_INTANGIBLE_RETURN,"intangible information return","financing_and_issuance","residualized_composite","LIT041","negative residual from decomposing five-year stock return into the return implied by book-value growth and financing versus unexplained intangible return","less price appreciation unsupported by tangible information","five-year decomposition; periodic refresh and subsequent holding","PIT market equity|PIT book equity|dividends|issuance|returns","all accounting and financing information respects historical availability","T3_ACCOUNTING_PIT","blocked_missing_T3","definition_resolution_required","direct_rank_or_model_feature","paper finds future reversal tied to intangible return","INTANGIBLE_INFORMATION","INTANGIBLES","later_research","resolve decomposition equations exactly before execution","An uncommon residualized bridge between valuation and behavioral overreaction."
XS046_SUE,"standardized unexpected earnings","earnings_information_diffusion","event_feature","LIT042","(quarterly EPS[t] - EPS[t-4]) divided by the trailing standard deviation of seasonal EPS changes","larger positive earnings surprise","quarterly event update; hold after announcement through next rebalance or fixed drift window","PIT reported EPS|announcement timestamp","EPS becomes available at actual release time; denominator uses only earlier released quarters","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank","positive-surprise long drift is documented","EARNINGS_SURPRISE_REVISION","EARNINGS_NEWS","core_after_data","analyst-based surprise is a separate future ID","Never align the signal to fiscal quarter end."
XS047_EPS_REVISION_1M,"one-month consensus EPS revision","earnings_information_diffusion","event_feature","LIT043","percentage change in PIT consensus FY1 EPS over the prior month with a fixed denominator treatment","more positive analyst earnings revision","one month; monthly refresh and holding","PIT analyst estimate vintages|fiscal-period mapping","only estimates timestamped before each month-end enter the historical consensus","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank","paper reports long-only forecast-revision performance","EARNINGS_SURPRISE_REVISION","ANALYST_REVISION","core_after_data","three-month revision would require a separate ID","Vendor backfills and estimate deletions must retain original vintages."
XS048_TARGET_REVISION_1M,"one-month target-price revision","earnings_information_diffusion","event_feature","LIT043","change in PIT consensus target price over the prior month divided by prior consensus target or stock price under a frozen rule","more positive target-price revision","one month; monthly refresh and holding","PIT target-price history|price","only released target prices enter and stale observations have a fixed maximum age","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank_or_model_feature","future long-only evidence is weaker than EPS revision alone","ANALYST_REVISION","ANALYST_REVISION","expanded_after_data","denominator choice must be resolved before executable registration","Potentially useful jointly with earnings and recommendation revisions."
XS049_ANALYST_DISPERSION,"analyst forecast dispersion","earnings_information_diffusion","primitive","LIT044","- standard deviation of current analyst EPS forecasts divided by absolute consensus mean with a frozen small-denominator rule","lower disagreement and valuation uncertainty","current consensus; monthly refresh and holding","PIT analyst-level forecasts","only active forecasts issued before cutoff; one forecast is missing rather than zero dispersion","T4_EVENT_EXPECTATION_PIT","blocked_missing_T4","paper_canonical_translation","direct_rank_or_filter","high-dispersion underperformance is often short-leg driven","ANALYST_DISAGREEMENT","ANALYST_REVISION","expanded_after_data","keep separate from revision direction","Small denominator handling materially changes ranks."
