source_sid,canonical_sid,preferred_donor,relationship,identity_status,evidence,notes
yf_ticker::PARA,sec::PARA_B,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Yahoo and Tiingo PARA responses contain a recycled wrong-security series,Keep membership but remove contaminated prices
yf_ticker::INFO,sec::INFO,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Current INFO response is a recycled ETF not IHS Markit,Keep membership but remove contaminated prices
yf_ticker::STI,sec::STI,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Current STI response is a recycled unrelated security,Use exact historical series only if repaired
yf_ticker::APC,sec::APC,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Current APC response is a recycled unrelated security,Use exact historical series only if repaired
yf_ticker::SBNY,sec::SBNY,tiingo_query::SBNY,verified_provider_alias,verified_same_security,Tiingo sequence matches Signature Bank through failure and subsequent OTC trading,Do not use the unrelated Yahoo response
yf_ticker::SIVB,sec::SIVB,tiingo_query::SIVB,verified_provider_alias,verified_same_security,Tiingo sequence matches SVB Financial through failure and subsequent OTC trading,Classify the terminal event as bankruptcy rather than normal removal
yf_ticker::DISCA,sec::WBD,parent::yf_ticker::WBD,same_security_one_for_one_exchange,verified_merger_or_exchange,WBD provider history exactly matches DISCA on the 2022-04-06 through 2022-04-08 overlap,Discovery Class A converted one-for-one into WBD
yf_ticker::CA,sec::CA,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Current Tiingo CA response is a recycled ETF rather than CA Inc,Historical CA Inc remains unavailable
yf_ticker::MON,sec::MON,,ticker_reuse_isolation,verified_ticker_reuse_isolated,Current Tiingo MON response is an unrelated recycled security,Historical Monsanto remains unavailable
yf_ticker::FDXF,sec::FDXF,,future_placeholder_unavailable,unavailable_with_reason,Public membership source contains a 2026 placeholder without a verified traded series,Keep membership but exclude from ranking until externally verified
yf_ticker::HONA,sec::HONA,,future_placeholder_unavailable,unavailable_with_reason,Public membership source contains a 2026 placeholder without a verified traded series,Keep membership but exclude from ranking until externally verified
yf_ticker::FOX,sec::FOX,parent::yf_ticker::FOX,ticker_episode_isolation,verified_ticker_reuse_isolated,Current provider history starts at 2019 spin,Pre-2019 episode remains unavailable with reason
yf_ticker::FOXA,sec::FOXA,parent::yf_ticker::FOXA,ticker_episode_isolation,verified_ticker_reuse_isolated,Current provider history starts at 2019 spin,Pre-2019 episode remains unavailable with reason
